cell	phenotype
T4_E5.S37	other
T4_E7.S170	other
T4_E8.S61	other
T4_E9.S186	other
T4_F10.S195	other
T4_F2.S131	other
T4_F6.S163	other
T4_F8.S179	other
T4_G1.S124	other
T4_G11.S87	other
T4_G12.S212	other
T4_G2.S15	other
T4_G6.S47	other
T4_G7.S55	other
T4_H1.S8	other
T4_H3.S141	other
T4_H5.S40	other
Tres_A11.S112	other
Tres_A11.S273	other
Tres_A8.S249	other
Tres_B1.S311	other
Tres_B11.S111	other
Tres_B4.S218	other
Tres_B4.S335	other
Tres_B6.S234	other
Tres_C11.S110	other
Tres_C3.S328	other
Tres_C6.S235	other
Tres_D1.S196	other
Tres_D10.S117	other
Tres_D12.S284	other
Tres_D7.S244	other
Tres_E10.S116	other
Tres_E11.S277	other
Tres_E12.S100	other
Tres_E5.S346	other
Tres_E9.S378	other
Tres_F11.S107	other
Tres_F5.S347	other
Tres_F7.S246	other
Tres_F7.S363	other
Tres_F9.S379	other
Tres_G3.S215	other
Tres_G6.S239	other
Tres_G7.S247	other
Tres_G8.S255	other
Tres_H12.S97	other
Tres_H2.S325	other
Tres_H3.S333	other
Tres_H4.S224	other
Tres_H8.S373	other
lib1_AR_T28_1_A7.S294	pigmented
lib1_AR_T28_1_B1.S300	pigmented
lib1_AR_T28_1_B5.S304	pigmented
lib1_AR_T28_1_E4.S339	pigmented
lib1_AR_T28_1_G5.S364	pigmented
T28_B3.S231	pigmented
T28_C2.S107	pigmented
T28_C5.S248	pigmented
T28_E8.S157	pigmented
T28_G7.S151	pigmented
T28_H1.S221	pigmented
T28_H6.S144	pigmented
T4_A10.S190	pigmented
T4_A2.S126	pigmented
T4_A9.S182	pigmented
T4_C12.S208	pigmented
T4_C4.S144	pigmented
T4_D10.S193	pigmented
T4_E10.S194	pigmented
T4_F12.S211	pigmented
T4_G12.S95	pigmented
T4_H4.S149	pigmented
Tres_C4.S336	pigmented
Tres_C5.S227	pigmented
Tres_D12.S101	pigmented
Tres_E7.S245	pigmented
Tres_F1.S315	pigmented
Tres_G5.S231	pigmented
Tres_G9.S380	pigmented
Tres_H5.S349	pigmented￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿샿%
